Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cote d'Ivoire,CIV,12664747894.4167,13862407213.5663,14449705424.8071,15307901973.3808,15970333193.0689,17288346643.98,19521378206.8974,20949261442.0495,23234711409.5838,23791045073.3334,21184094378.322,21925643370.8117,21969674962.3516,21112804814.63,20542492760.3513,21467156206.3713,22166845697.292,22089489409.9338,22340532915.1657,22999132929.8765,22747083497.3228,22756392780.3066,22700739607.1517,22657044066.1342,22840839521.0746,24468419439.1566,26359663691.9048,28903065478.586,30135465005.6332,30487103687.1804,30406072178.2268,29751121585.5543,28938759334.2241,27571152176.3563,28449303912.4541,28732677632.1669,29541668752.6369,29867049486.2231,31295490700.8623,32423167866.6818,34643522418.9356,32783010325.3471,35281210700.9425,39077544167.6054,42739891584.4862,45815005169.2651,49101205368.91,52739979047.0655,55294253263.7438,59010785540.9857,59423700880.6615,63620992438.4818,67576850897.4936,71766615653.1294
GDP (constant 2015 US$),NY.GDP.MKTP.KD,China,CHN,232062150860.376,248445738707.722,257911521353.032,277925455412.202,284345533440.415,309140463949.254,304286958660.14,327321481434.924,364393840371.876,392056159908.458,422770408019.505,444385648943.338,484456409125.223,536633345444.084,618156214897.21,701178782692.455,763934015643.453,852989071904.214,948716580689.189,988622772158.878,1027379269906.5,1122543213961.28,1282219705619.77,1460239618602.01,1650608234052.85,1831415106374.65,2013138309684.44,2199087464269.01,2371626806476.09,2553332587278.43,2770112908903.6,3001022138034.24,3275124420038.43,3603882407613.85,3968365429214.8,4420544471398.72,4982879973774.79,5691986693310.73,6241302053216.75,6827904909100.22,7554112071638.2,8275592638197,8926363432826.3,9619598215288.48,10333926843443.8,11061572618578.7,11819153423353.8,12640253743744.4,13493442283300.8,14296369668065.2,14616413683019.5,15851276922873.1,16318995784492.7,17175670911003.5
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Finland,FIN,78977063654.6816,80838488993.2316,87091739149.2066,93174076610.9711,96189687157.6613,97925811876.9344,98263051648.5785,98498402632.4508,101374267811.541,108594069012.671,114446254667.969,115921906812.5,119500085884.766,123209187478.125,127184572165.234,131686975475.391,135315082627.734,140133697111.719,147464248780.078,154961227382.031,156033016834.375,146857345228.906,141994350229.297,140887056364.453,146472344255.859,152674521314.453,158266466283.203,168391880923.047,177576428631.641,185370756688.281,196036504105.859,201212381740.625,204607491185.937,208723784010.156,217083963641.016,223113056688.672,232081249383.594,244411266137.109,246328504412.109,226434938283.203,233609048633.984,239193227012.5,235550696192.578,233242909380.078,232127848925,233210733506.25,239208760192.969,247110711000,250058686750.391,253433824963.672,247120696616.016,253878739632.812,257560103403.906,254562199573.437
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pakistan,PAK,38000562580.8228,38178546784.2244,38489093528.9446,41208064651.9774,42666909141.7874,44463790022.8473,46756427335.2631,48602230016.4329,52513996839.0732,54487701574.7253,60054003904.3132,64810739569.0917,69047733113.396,73728049698.119,77462527003.7113,83343570902.3902,87928845524.5354,93602316255.4105,100739753814.043,105736212788.011,110450553630.166,116041083242.324,124983090542.903,127179977939.619,131933222221.385,138480552374.263,145192124911.514,146664948034.581,150405247842.758,155910279560.875,162552194688.572,168487544527.033,172859487443.654,182196165734.208,196464413110.888,210760292372.08,223514741630.685,233449556918.441,238399717138.761,246678267936.347,250382678707.751,257093227079.837,264876940258.885,276443758787.987,287823367553.405,299963590534.773,319682711890.74,333853050597.697,354390697428.203,363242090361.647,358614068499.253,381973779235.3,400224894618.857,400066035261.282
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Zambia,ZMB,5387686297.19132,5383050756.09907,5878768640.77048,5822212020.16877,6196473039.87955,6055854684.90596,6432587907.06376,6138989402.86171,6172984906.577,5986318100.43461,6168040110.67307,6548482197.51558,6364287627.82108,6239121864.17488,6218106324.32923,6318548040.45408,6364287627.82108,6534574435.21006,6944994654.29038,6873912509.77869,6840844039.47996,6838372211.04238,6720005310.13323,7176782487.17512,6557753279.70008,6747775256.59298,7167388797.89361,7440753543.99756,7412051123.98383,7756725565.34734,8059030210.46366,8487518230.93072,8869967014.46174,9485983915.84691,10153075785.3691,10887711636.03,11748243095.7729,12729507610.1931,13719086269.626,14984033821.7868,16527123087.7163,17447560252.6576,18773117888.8094,19722575262.7917,20648211567.0616,21251216798.7762,22049221308.1088,22826646593.6169,23747586257.2512,24089861649.0155,23418945736.8993,24879098747.8861,26175604214.1895,27580695690.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
