Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,China,CHN,..,..,..,..,..,..,46.5356483459473,47.0875282287598,45.1967315673828,40.2005195617676,33.4511795043945,29.5438499450684,25.9770107269287,24.1696891784668,24.1716499328613,25.6931591033936,26.6985301971436,29.4666194915771,31.3297100067139,32.3966598510742,32.9503898620605,35.5280418395996,38.6514091491699,41.0826187133789,42.5803298950195,44.7639312744141,48.4334106445312,50.8602905273438,..,..,..,60.5072402954102,..,62.8665199279785,..,..,74.7501068115234,79.2062835693359,84.3430099487305,90.8811416625977,92.2622222900391,94.0232086181641,94.724006652832,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Cote d'Ivoire,CIV,..,3.85335993766785,4.50625991821289,4.88962984085083,4.92538976669312,..,..,..,..,..,..,10.4383497238159,..,10.8357601165772,11.349760055542,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0713691711426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.9181499481201,34.9543685913086,37.3194313049316,40.636531829834,43.3195991516113,46.8918113708496,50.1411514282227,53.5444793701172,52.2239189147949,64.0494689941406
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Finland,FIN,..,105.396209716797,109.99577331543,111.50959777832,113.202133178711,..,95.640266418457,98.1947174072266,99.4551086425781,102.260643005371,103.890548706055,105.091110229492,106.126106262207,107.81893157959,113.487991333008,115.476982116699,116.976081848145,118.36637878418,119.878341674805,120.195663452148,122.793167114258,124.421188354492,128.65690612793,123.620178222656,125.39533996582,124.361427307129,127.02783203125,126.88111114502,124.058258056641,126.523239135742,131.181182861328,134.663055419922,136.179000854492,138.743591308594,113.423683166504,113.830627441406,112.610382080078,111.485862731934,110.881446838379,110.353019714355,111.196716308594,111.733192443848,112.473762512207,152.21354675293,154.411575317383,157.990310668945,159.691635131836,161.339553833008,161.847595214844,151.423095703125,149.881484985352,150.98811340332,153.241073608398,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Pakistan,PAK,..,6.18796014785767,6.45026016235352,7.13227987289429,7.36286020278931,8.10120010375977,7.9867000579834,8.22793006896973,8.33463954925537,8.33152008056641,8.458740234375,8.50792026519775,8.63323020935059,8.74977016448975,9.18540954589844,9.83368968963623,10.5073299407959,10.8824596405029,11.2160396575928,11.730770111084,12.0658798217773,15.1681003570557,17.4066505432129,..,..,..,..,..,..,..,..,..,..,..,..,..,24.1608905792236,25.4981803894043,25.6614799499512,26.1832294464111,25.9987137016024,25.9479510588506,26.29248046875,26.8828771047221,29.0480475783672,30.7594543810537,32.1370804455769,31.6698423240667,34.2396945236518,36.3070045451443,..,38.2011753900429,39.2210432345274,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,"Venezuela, RB",VEN,..,31.3857803344727,34.2082710266113,37.0394287109375,39.9585609436035,42.0693283081055,..,..,..,..,..,..,..,..,58.7021484375,60.6896209716797,60.9843101501465,59.978099822998,59.6315383911133,59.016731262207,..,59.6137504577637,60.6885681152344,61.4797897338867,..,..,..,..,..,62.2957916259766,65.0297088623047,68.8771591186523,72.9138031005859,73.892448425293,76.4799575805664,78.7693176269531,81.4078979492188,83.7117233276367,85.0106582641602,85.6526870727539,85.6699676513672,86.52197265625,88.7482070922852,96.5097732543945,95.2444305419922,93.1753005981445,89.3995666503906,88.1067810058594,..,..,..,..,..,99.7403182983398
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Zambia,ZMB,8.0633602142334,..,8.79862976074219,..,8.96883010864258,..,..,..,..,10.6238098144531,10.8441400527954,10.925479888916,11.0863704681397,..,..,..,14.348030090332,..,14.588339805603,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
