Entity,Code,Year,Democracy
China,CHN,1970,-8
China,CHN,1971,-8
China,CHN,1972,-8
China,CHN,1973,-8
China,CHN,1974,-8
China,CHN,1975,-8
China,CHN,1976,-7
China,CHN,1977,-7
China,CHN,1978,-7
China,CHN,1979,-7
China,CHN,1980,-7
China,CHN,1981,-7
China,CHN,1982,-7
China,CHN,1983,-7
China,CHN,1984,-7
China,CHN,1985,-7
China,CHN,1986,-7
China,CHN,1987,-7
China,CHN,1988,-7
China,CHN,1989,-7
China,CHN,1990,-7
China,CHN,1991,-7
China,CHN,1992,-7
China,CHN,1993,-7
China,CHN,1994,-7
China,CHN,1995,-7
China,CHN,1996,-7
China,CHN,1997,-7
China,CHN,1998,-7
China,CHN,1999,-7
China,CHN,2000,-7
China,CHN,2001,-7
China,CHN,2002,-7
China,CHN,2003,-7
China,CHN,2004,-7
China,CHN,2005,-7
China,CHN,2006,-7
China,CHN,2007,-7
China,CHN,2008,-7
China,CHN,2009,-7
China,CHN,2010,-7
China,CHN,2011,-7
China,CHN,2012,-7
China,CHN,2013,-7
China,CHN,2014,-7
China,CHN,2015,-7
China,CHN,2016,-7
China,CHN,2017,-7
China,CHN,2018,-7
Cote d'Ivoire,CIV,1970,-9
Cote d'Ivoire,CIV,1971,-9
Cote d'Ivoire,CIV,1972,-9
Cote d'Ivoire,CIV,1973,-9
Cote d'Ivoire,CIV,1974,-9
Cote d'Ivoire,CIV,1975,-9
Cote d'Ivoire,CIV,1976,-9
Cote d'Ivoire,CIV,1977,-9
Cote d'Ivoire,CIV,1978,-9
Cote d'Ivoire,CIV,1979,-9
Cote d'Ivoire,CIV,1980,-9
Cote d'Ivoire,CIV,1981,-9
Cote d'Ivoire,CIV,1982,-9
Cote d'Ivoire,CIV,1983,-9
Cote d'Ivoire,CIV,1984,-9
Cote d'Ivoire,CIV,1985,-9
Cote d'Ivoire,CIV,1986,-9
Cote d'Ivoire,CIV,1987,-9
Cote d'Ivoire,CIV,1988,-9
Cote d'Ivoire,CIV,1989,-9
Cote d'Ivoire,CIV,1990,-7
Cote d'Ivoire,CIV,1991,-7
Cote d'Ivoire,CIV,1992,-7
Cote d'Ivoire,CIV,1993,-6
Cote d'Ivoire,CIV,1994,-6
Cote d'Ivoire,CIV,1995,-6
Cote d'Ivoire,CIV,1996,-6
Cote d'Ivoire,CIV,1997,-6
Cote d'Ivoire,CIV,1998,-6
Cote d'Ivoire,CIV,1999,-1
Cote d'Ivoire,CIV,2000,4
Cote d'Ivoire,CIV,2001,4
Cote d'Ivoire,CIV,2002,0
Cote d'Ivoire,CIV,2003,0
Cote d'Ivoire,CIV,2004,0
Cote d'Ivoire,CIV,2005,0
Cote d'Ivoire,CIV,2006,0
Cote d'Ivoire,CIV,2007,0
Cote d'Ivoire,CIV,2008,0
Cote d'Ivoire,CIV,2009,0
Cote d'Ivoire,CIV,2010,0
