Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Cote d'Ivoire,CIV,..,9.10976028442383,10.0607099533081,10.9632301330566,10.7057695388794,11.3384504318237,12.3316097259522,12.315239906311,13.1392602920532,14.4294204711914,16.3870506286621,18.0648002624512,..,19.0016002655029,19.3051490783691,19.9326305389404,..,19.7394104003906,..,..,..,..,..,..,..,..,..,..,..,23.0311298370361,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.4756011962891,41.6637382507324,43.8949584960938,46.8549613952637,49.0457992553711,52.2111511230469,54.652530670166,57.2815093994141,55.0669403076172,66.0276794433594
"School enrollment, secondary (% gross)",SE.SEC.ENRR,China,CHN,25.7861003875732,34.4675598144531,43.9938087463379,53.8687591552734,57.9808387756348,57.2828216552734,57.9116706848145,56.954418182373,52.994010925293,47.4205589294434,40.1661186218262,36.623649597168,32.5759811401367,30.1066207885742,29.8780403137207,31.3204708099365,32.6456489562988,35.1279983520508,37.2135391235352,38.2257308959961,39.0901184082031,41.6763000488281,44.5318794250488,46.7970199584961,47.0254516601562,48.663631439209,51.8940887451172,54.2526817321777,..,58.2373085021973,59.2292213439941,62.1108283996582,62.8491706848145,64.06201171875,..,..,74.2114868164062,78.3460006713867,82.9210891723633,88.7780380249023,91.5271835327148,92.9864196777344,93.3106079101562,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Finland,FIN,..,101.269416809082,105.711242675781,106.054252624512,107.514686584473,107.145042419434,89.9002304077148,93.1230773925781,94.3702392578125,97.08447265625,98.3180389404297,99.5930480957031,100.319610595703,101.554733276367,105.239967346191,106.819892883301,108.28182220459,109.558166503906,110.987289428711,111.688720703125,113.078971862793,113.864410400391,116.974082946777,113.945106506348,116.124557495117,116.060340881348,117.399612426758,119.055976867676,118.430450439453,121.148979187012,125.493049621582,128.174865722656,129.487838745117,132.235412597656,110.782669067383,111.326103210449,110.277038574219,109.042900085449,108.298301696777,107.702293395996,108.609390258789,109.248931884766,109.962677001953,145.653442382812,147.413314819336,150.819213867188,152.471435546875,153.583709716797,153.651428222656,144.613204956055,143.122909545898,143.361343383789,144.852462768555,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Pakistan,PAK,..,15.09202003479,15.1006002426147,15.5555696487427,15.8375701904297,16.6953392028809,16.6267395019531,16.7152805328369,16.7520809173584,15.4925498962402,15.9938802719116,16.0475292205811,16.2279796600342,17.0569305419922,17.8578701019287,18.7081909179688,18.8718109130859,19.2109909057617,19.4664402008057,20.1443004608154,20.7386207580566,23.7177505493164,26.3336696624756,..,..,..,..,..,..,..,..,..,..,19.9118404388428,21.9085197448731,22.8122806549072,27.5696792602539,29.4775695800781,29.6895599365234,29.5907192230225,29.8961453275523,30.3576824820896,31.2602005004883,32.1165109008871,33.214222759511,35.1742522238373,36.3533679861146,35.8526761779574,37.7495130334641,39.6166540049859,..,41.8552345316015,42.3586853238267,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Venezuela, RB",VEN,..,30.5586700439453,33.1990509033203,35.5378189086914,37.7276916503906,39.6463508605957,43.9017601013184,46.5205497741699,47.7955513000488,49.1150093078613,50.154670715332,50.732349395752,51.2947082519531,52.4857215881348,53.129508972168,54.6843795776367,55.423511505127,54.414680480957,54.1774215698242,53.4754600524902,53.4818305969238,53.9074211120605,54.8321914672852,55.364429473877,..,..,..,..,..,56.5395202636719,59.6101112365723,63.7311592102051,67.7687377929688,68.9142303466797,71.5432586669922,73.8731918334961,76.3974304199219,78.7636871337891,80.4674301147461,81.3888778686523,81.3296966552734,82.2678070068359,84.3391876220703,91.7803802490234,91.0872268676758,89.0915222167969,85.3960266113281,84.1052017211914,..,..,..,..,..,95.4098510742188
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Zambia,ZMB,12.4886102676392,12.9413204193115,13.4081001281738,13.0727100372315,13.5965900421143,14.337610244751,14.8427801132202,15.2394800186157,15.5560398101807,15.4370698928833,15.6173601150513,15.4803600311279,15.7786703109741,..,..,18.1023197174072,19.3945198059082,18.9795703887939,19.7797603607178,..,20.7651805877686,..,..,..,20.5775203704834,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
