Country Name,Country Code,Sector,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,FIN,Agriculture,8.890999794,9.024999619,8.904999733,8.734000206,7.757999897,7.893000126,7.777999878,7.113999844,6.381000042,6.208000183,5.836999893,5.52699995,5.27699995,5.008999825,4.824999809,4.670000076,4.537000179,4.520999908,4.626999855,4.43900013,4.230999947,4.159999847,4.131999969,4.256000042,4.223999977,3.86500001
Finland,FIN,Industry,28.83099937,27.48399925,26.71500015,26.34900093,27.59700012,27.08600044,27.41900063,28.25600052,27.72999954,27.95199966,27.07900047,27.14699936,26.69799995,26.06999969,25.80599976,25.69199944,25.71800041,25.14900017,23.94499969,23.29999924,22.99500084,22.78499985,22.84700012,21.89500046,21.70400047,22.15600014
Finland,FIN,Services,62.27799988,63.49100113,64.37999725,64.91699982,64.64499664,65.01999664,64.8030014,64.62999725,65.88999939,65.83999634,67.08399963,67.3259964,68.02600098,68.92099762,69.3690033,69.63800049,69.7460022,70.33100128,71.42900085,72.26000214,72.77500153,73.05500031,73.01999664,73.84899902,74.0719986,73.97899628
China,CHN,Agriculture,55.30599976,53.68799973,51.56999969,50.50299835,49.44599915,48.34400177,47.16199875,46.46099854,45.25099945,43.79000092,42.625,41.27999878,39.24700165,37.95999908,35.82500076,33.50400162,31.24399948,29.54599953,27.84499931,26.23399925,24.50699997,23.16900063,21.9279995,20.72999954,19.54800034,18.35700035
China,CHN,Industry,27.32799911,27.85499954,29.18899918,28.90699959,29.00300026,29.08699989,28.77899933,27.99600029,27.82999992,28.12100029,28.05200005,28.03800011,29.38999939,29.36800003,29.61800003,29.94599915,29.95400047,30.06900024,30.09900093,30.15399933,29.96500015,29.48399925,28.83399963,28.06399918,27.10199928,26.79100037
China,CHN,Services,17.36599922,18.45700073,19.24099922,20.59000015,21.5510006,22.56900024,24.05900002,25.54299927,26.91900063,28.08799934,29.32299995,30.68199921,31.36300087,32.67200089,34.55599976,36.54899979,38.80199814,40.38499832,42.05599976,43.61299896,45.52799988,47.34799957,49.23799896,51.20600128,53.35100174,54.85200119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
